Date_time,CPU,Memory_Bytes,Disk_Usage
1633269868,31164048645,397852672,199724
1633269870,31230774950,398012416,199732
1633269871,31301347486,397836288,199744
1633269872,31367992991,398008320,199748
1633269873,31437166436,397754368,199756
1633269874,31539065256,398577664,199764
1633269875,31603355781,398733312,199768
1633269877,31662651012,398471168,199776
1633269878,31727572508,398450688,199780
1633269879,31789889424,398839808,199788
1633269880,31853161830,398643200,199796
1633269881,31919740487,398508032,199808
1633269882,31988643849,398979072,199816
1633269884,32086157748,398856192,199820
1633269885,32155514234,397221888,199828
1633269886,32223296252,397496320,199836
1633269887,32288315898,397287424,199852
1633269888,32354791228,397500416,199860
1633269889,32422142522,397516800,199868
1633269891,32482445962,397418496,199872
1633269892,32541799586,397537280,199880
1633269893,32602544023,397574144,199884
1633269894,32695997028,397635584,199892
1633269895,32763161504,397635584,199900
1633269896,32830851306,397651968,199904
1633269898,32899443847,397504512,199912
1633269899,32970760961,397717504,199920
1633269900,33044411093,397537280,199932
1633269901,33112788863,397627392,199940
1633269902,33179851928,397918208,199944
1633269903,33267703229,397660160,199952
1633269905,33331734551,397824000,199960
1633269906,33393944993,397754368,199968
1633269907,33454975947,397787136,199972
1633269908,33524027051,397725696,199980
1633269909,33592358350,397643776,199988
1633269911,33660727633,397520896,199992
1633269912,33729416585,397459456,200000
1633269913,33798295697,397348864,200016
1633269914,33898535331,397418496,200020
1633269915,33963543481,397398016,200028
1633269916,34021951085,397459456,200032
1633269918,34079855930,397574144,200040
1633269919,34137865569,397578240,200048
1633269920,34197902260,397529088,200052
1633269921,34265174060,397541376,200060
1633269922,34337113059,397664256,200068
1633269923,34420392907,397746176,200072
1633269925,34505203635,397631488,200080
1633269926,34575390710,397668352,200096
1633269927,34643843622,397713408,200100
1633269928,34708972052,397787136,200108
1633269929,34768870205,397570048,200116
1633269930,34826899405,397611008,200120
1633269932,34887092950,397705216,200128
1633269933,34946244871,397492224,200132
1633269934,35043403063,397737984,200140
1633269935,35114639591,397688832,200148
1633269936,35182077530,397803520,200152
1633269937,35252894790,397627392,200160
1633269939,35321917126,397582336,200168
1633269940,35389743033,397918208,200180
1633269941,35453456859,398082048,200188
1633269942,35516487131,397926400,200192
1633269943,35589905258,397725696,200200
1633269944,35665553190,397938688,200204
1633269946,35724076122,397922304,200212
1633269947,35785944504,397930496,200220
1633269948,35852326797,398082048,200224
1633269949,35924704531,398041088,200232
1633269950,35991324845,398184448,200240
1633269951,36059838882,398036992,200244
1633269953,36130782563,398155776,200260
1633269954,36231614138,397905920,200268
1633269955,36299507432,398168064,200272
1633269956,36356798090,398450688,200280
1633269957,36414003337,398462976,200284
1633269958,36473448877,398311424,200292
1633269960,36532651975,398442496,200300
1633269961,36596633926,398462976,200304
1633269962,36662912791,398524416,200312
1633269963,36728777151,398422016,200316
1633269964,36829844281,398434304,200324
1633269966,36897568533,398553088,200340
1633269967,36964397450,398475264,200344
1633269968,37036008508,398401536,200352
1633269969,37098945751,398680064,200360
1633269970,37160828966,398503936,200364
1633269971,37221013788,398368768,200372
1633269973,37281347818,398229504,200376
1633269974,37375124890,398368768,200384
1633269975,37444203864,398163968,200388
1633269976,37512101465,398311424,200396
1633269977,37580839682,398282752,200404
1633269978,37651095434,398327808,200416
1633269980,37718339855,398188544,200424
1633269981,37786141884,398401536,200432
1633269982,37849013972,398352384,200436
1633269983,37908824731,398413824,200444
1633269984,38000499593,398393344,200448
1633269985,38062562301,398385152,200456
1633269987,38122069144,398176256,200464
1633269988,38194760898,398606336,200468
1633269989,38263713723,398483456,200476
1633269990,38329346568,398823424,200480
1633269991,38398925564,398602240,200488
1633269992,38464559210,398557184,200504
1633269994,38566991492,398700544,200508
1633269995,38629735006,398737408,200516
1633269996,38689565391,398946304,200520
1633269997,38747227566,398938112,200528
1633269998,38811368071,398983168,200536
1633269999,38873012133,399024128,200540
1633270001,38941022422,399097856,200548
1633270002,39010210935,398950400,200552
1633270003,39077671180,398807040,200560
